
2025/03/30 (13:01:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (13:01:59) | ===> btop++ v.1.4.0
2025/03/30 (13:01:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (13:05:58) | ===> btop++ v.1.4.0
2025/03/30 (13:05:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (13:07:55) | ===> btop++ v.1.4.0
2025/03/30 (13:07:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (13:09:12) | ===> btop++ v.1.4.0
2025/03/30 (13:09:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (19:15:47) | ===> btop++ v.1.4.0
2025/04/06 (19:15:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (19:16:04) | ===> btop++ v.1.4.0
2025/04/06 (19:16:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (08:58:44) | ===> btop++ v.1.4.0
2025/04/08 (08:58:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (08:58:52) | ===> btop++ v.1.4.0
2025/04/08 (08:58:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (08:59:04) | ===> btop++ v.1.4.0
2025/04/08 (08:59:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (21:16:02) | ===> btop++ v.1.4.0
2025/04/08 (21:16:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (22:05:38) | ===> btop++ v.1.4.0
2025/04/08 (22:05:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (22:07:33) | ===> btop++ v.1.4.0
2025/04/08 (22:07:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (14:38:20) | ===> btop++ v.1.4.0
2025/04/09 (14:38:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (14:39:33) | ===> btop++ v.1.4.0
2025/04/09 (14:39:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (21:57:44) | ===> btop++ v.1.4.0
